Unique Lake,sampledate,Chla (µg/L),TP (µg/L),TN (µg/L)
CHNL2,2018-01-15,1.0,20.0,1135.0
CHNL2,2018-02-15,2.0,20.0,1070.0
CHNL2,2018-03-15,1.0,20.0,1200.0
CHNL2,2018-04-15,1.0,50.0,1080.0
CHNL2,2018-05-15,4.0,20.0,1020.0
CHNL2,2018-06-15,2.0,20.0,700.0
CHNL2,2018-07-15,4.0,20.0,340.0
CHNL2,2018-08-15,19.0,30.0,340.0
CHNL2,2018-09-15,18.0,30.0,540.0
CHNL2,2018-10-15,5.0,20.0,500.0
CHNL2,2018-11-15,10.0,50.0,780.0
CHNL2,2018-12-15,1.0,50.0,330.0
CHNL2,2019-01-15,5.0,40.0,590.0
CHNL2,2019-02-15,1.0,10.0,800.0
CHNL2,2019-03-15,5.0,20.0,720.0
CHNL2,2019-04-15,1.0,20.0,720.0
CHNL2,2019-05-15,1.0,5.0,510.0
CHNL2,2019-06-15,4.0,30.0,330.0
CHNL2,2019-07-15,2.0,,320.0
CHNL2,2019-08-15,13.0,100.0,1440.0
CHNL2,2019-09-15,16.0,60.0,670.0
CHNL2,2019-10-15,11.0,60.0,510.0
CHNL2,2019-11-15,11.0,20.0,600.0
CHNL2,2019-12-15,3.0,50.0,720.0
CHNL2,2020-01-15,3.0,11.0,750.0
CHNL2,2020-02-15,3.0,5.0,610.0
CHNL2,2020-03-15,1.0,10.0,960.0
CHNL2,2020-04-15,3.0,5.0,620.0
CHNL2,2020-05-15,1.0,20.0,700.0
CHNL2,2020-06-15,39.0,9.0,240.0
CHNL2,2020-07-15,27.0,10.0,220.0
CHNL2,2020-08-15,7.0,13.0,210.0
CHNL2,2020-09-15,4.0,15.0,330.0
CHNL2,2020-10-15,32.0,11.0,340.0
CHNL2,2020-11-15,10.0,8.0,430.0
CHNL2,2020-12-15,11.0,5.0,490.0
CHNL2,2021-01-15,1.0,6.0,640.0
CHNL2,2021-02-15,6.0,5.0,650.0
CHNL2,2021-03-15,1.0,5.0,740.0
CHNL2,2021-04-15,1.0,5.0,800.0
CHNL2,2021-05-15,4.0,5.0,710.0
CHNL2,2021-06-15,16.0,5.0,650.0
CHNL2,2021-07-15,2.0,19.0,490.0
CHNL2,2021-08-15,1.0,32.0,1500.0
CHNL2,2021-09-15,20.0,29.0,2390.0
CHNL2,2021-10-15,1.0,50.0,1610.0
CHNL2,2021-11-15,2.0,41.0,3020.0
CHNL2,2021-12-15,3.0,20.0,3450.0
CHNL2,2022-01-15,1.0,15.0,3420.0
CHNL2,2022-05-15,6.0,5.0,2720.0
CHNL2,2022-06-15,5.0,7.0,2020.0
CHNL2,2022-07-15,4.0,14.0,1390.0
CHNL2,2022-08-15,2.0,22.0,700.0
CHNL2,2022-09-15,9.0,21.0,480.0
CHNL2,2022-10-15,5.0,19.0,260.0
CHNL3,2016-01-15,1.2,24.0,895.0
CHNL3,2016-02-15,1.7,38.0,600.0
CHNL3,2016-03-15,5.25,22.0,200.0
CHNL3,2016-04-15,4.45,14.0,1290.0
CHNL3,2016-05-15,6.04,32.0,1840.0
CHNL3,2016-06-15,5.7299999999999995,7.0,740.0
CHNL3,2016-09-15,8.0,50.0,440.0
CHNL3,2017-03-15,3.0,,610.0
